"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-04-16,0,13,14,9,0,0,16,9,0,0,1,9,0,1,5,78,6,65
2014-04-17,0,8,12,0,9,14,12,0,0,0,7,13,1,13,6,34,8,22
2014-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-04-20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2014-04-21,11,0,0,5,8,9,9,0,0,0,7,5,3,0,4,54,9,12
2014-04-22,0,9,5,0,0,30,7,0,0,0,4,13,14,3,6,65,7,43
2014-04-23,0,0,9,5,4,6,31,2,0,0,1,10,2,5,16,32,18,28
2014-04-24,4,2,16,0,13,0,2,4,0,1,6,8,5,2,15,39,28,30
2014-04-25,0,0,21,12,12,29,14,3,0,0,3,1,7,0,9,45,4,51
2014-04-28,0,0,36,2,39,6,6,6,0,0,4,11,0,2,10,42,12,17
2014-04-29,0,0,8,10,0,13,13,1,0,0,5,11,0,0,5,67,9,57
2014-04-30,0,0,23,10,0,6,10,0,0,0,0,4,4,0,6,62,6,28
2014-05-01,16,6,14,12,0,9,12,0,0,0,0,9,0,4,8,59,4,14
2014-05-02,2,17,9,15,0,16,6,0,1,0,0,9,4,2,12,29,3,50
2014-05-05,0,0,6,8,8,8,0,0,0,0,4,7,1,3,6,64,7,19
2014-05-06,0,35,4,6,23,16,7,6,0,0,2,9,4,13,13,94,6,19
2014-05-07,0,0,8,11,10,2,0,7,0,0,0,13,0,1,13,71,0,20
2014-05-08,0,0,8,10,0,11,12,0,0,4,2,15,12,13,1,57,8,46
2014-05-09,0,5,0,11,6,20,0,12,0,0,0,7,7,0,2,58,1,27
2014-05-12,0,0,4,7,19,23,5,0,0,0,1,5,1,3,7,59,17,51
2014-05-13,0,5,0,13,0,6,12,0,0,0,0,4,10,4,4,52,9,48
2014-05-14,0,13,5,5,0,4,23,0,0,0,0,33,9,9,5,55,10,30
2014-05-15,0,0,11,10,0,7,13,4,0,0,0,11,5,0,3,63,10,56
2014-05-16,2,10,42,6,0,26,10,0,0,0,1,1,5,7,9,44,9,59
2014-05-19,0,26,0,3,5,21,3,2,0,0,0,9,1,3,1,30,25,73
2014-05-20,15,0,6,3,16,19,17,0,0,0,2,7,1,3,8,66,9,64
2014-05-21,0,0,15,5,3,9,16,0,0,0,1,16,0,7,8,30,13,48
2014-05-22,0,0,0,4,0,7,0,0,0,0,0,19,6,4,6,50,7,37
2014-05-23,0,0,3,10,4,2,0,6,0,0,3,11,0,0,8,34,4,31
2014-05-27,0,0,0,16,16,12,10,2,0,0,0,10,0,4,11,50,2,31
2014-05-28,6,0,3,10,25,2,15,4,0,0,1,17,6,5,13,62,9,56
2014-05-29,0,0,0,4,34,20,33,5,0,0,0,6,3,0,6,51,4,56
2014-05-30,18,0,22,0,12,15,0,3,0,0,1,8,2,0,7,65,1,36
2014-06-02,6,0,17,12,16,26,5,0,0,0,6,11,5,0,8,34,18,48
2014-06-03,0,8,32,0,10,4,16,0,0,0,0,9,0,4,19,154,12,40
2014-06-04,0,0,5,4,18,5,26,8,0,0,0,9,1,7,15,69,20,35
2014-06-05,8,0,8,5,3,14,5,4,0,5,0,1,6,4,2,34,13,32
2014-06-06,0,0,33,0,6,6,9,5,0,0,1,3,0,4,8,39,11,62
2014-06-09,0,0,22,3,9,11,7,14,0,0,0,6,3,3,3,21,17,44
2014-06-10,0,7,0,0,0,23,15,1,0,0,0,1,5,12,5,94,4,33
2014-06-11,0,0,4,12,0,15,27,3,0,0,6,17,0,10,15,64,1,49
2014-06-12,0,3,11,14,4,19,22,0,0,0,2,15,6,2,16,71,11,52
2014-06-13,2,0,0,1,0,8,2,0,0,0,4,7,16,5,5,48,5,33
2014-06-16,4,22,19,9,7,21,7,0,0,0,2,9,1,7,7,83,16,16
2014-06-17,0,0,0,11,12,13,4,0,0,0,0,18,1,0,9,89,11,60
2014-06-18,0,0,12,2,6,4,7,4,0,0,0,12,6,2,5,58,21,58
2014-06-19,0,0,0,3,7,13,21,0,0,0,2,17,0,4,5,29,13,63
